953.279	19963.53461
959.192	17855.6044
965.105	16413.8655
971.017	16037.82039
976.929	16808.18554
982.842	18686.64586
988.754	21626.71158
994.666	25636.00678
1000.578	30438.47171
1006.49	35913.41703
1012.401	41720.4313
1018.313	47492.81995
1024.224	52917.18412
1030.136	57615.54571
1036.047	61149.23452
1041.958	63443.91002
1047.869	64075.77154
1053.78	63208.43691
1059.691	60833.72911
1065.601	57346.63387
1071.512	53141.2407
1077.422	48714.32634
1083.332	44291.06445
1089.242	40088.0862
1095.152	36418.93087
1101.062	33519.9761
1106.972	31587.93084
1112.882	30595.67373
1118.791	30537.72129
1124.701	31036.20435
1130.61	31298.21919
1136.519	30037.41098
1142.428	27311.87984
1148.337	25189.25721
1154.246	24995.98313
1160.154	26137.21633
1166.063	27535.78991
1171.971	29005.74602
1177.88	30273.53909
1183.788	31078.18404
1189.696	31408.62935
1195.604	31513.22044
1201.512	31661.80509
1207.42	31927.86529
1213.327	32373.41574
1219.235	32816.09931
1225.142	32862.77207
1231.049	31744.75794
1236.957	28414.91807
1242.864	24425.6384
1248.77	22590.0521
1254.677	23217.39363
1260.584	24780.67084
1266.49	25765.10852
1272.397	25756.63854
1278.303	24934.67502
1284.209	23640.67483
1290.115	21977.05773
1296.021	20149.54772
1301.927	18270.60845
1307.833	16372.83824
1313.738	14582.5665
1319.644	12908.46962
1325.549	11385.65254
1331.454	10179.86321
1337.359	9291.45893
1343.264	8676.66995
1349.169	8394.95172
1355.074	8281.55201
1360.978	8215.19398
1366.883	8215.62895
1372.787	8238.05585
1378.692	8304.95265
1384.596	8470.05567
1390.5	8645.13198
1396.404	8804.20846
1402.307	8975.08153
1408.211	9139.36454
1414.115	9283.30331
1420.018	9422.96895
1425.921	9507.08902
1431.824	9532.29976
1437.728	9574.54849
1443.63	9545.06144
1449.533	9509.33192
1455.436	9474.55783
1461.339	9435.03607
1467.241	9358.52818
1473.143	9279.23417
1479.046	9181.03279
1484.948	9070.02531
1490.85	8948.2793
1496.751	8783.02219
1502.653	8600.32046
1508.555	8355.18064
1514.456	8054.89466
1520.358	7672.93139
1526.259	7294.50129
1532.16	6872.50692
1538.061	6422.03231
1543.962	6049.77689
1549.863	5745.30269
1555.763	5505.29939
1561.664	5348.04785
1567.564	5247.82216
1573.465	5245.28176
1579.365	5260.64603
1585.265	5308.11387
1591.165	5404.59994
1597.065	5493.53621
1602.964	5578.10653
1608.864	5659.05883
1614.763	5749.84463
1620.663	5816.28614
1626.562	5843.12051
1632.461	5880.84895
1638.36	5838.09123
1644.259	5840.806
1650.158	5761.66065
1656.056	5656.81401
1661.955	5526.56368
1667.853	5380.79577
1673.751	5250.32777
1679.649	5076.47041
1685.547	4920.12463
1691.445	4770.38015
1697.343	4641.98885
1703.241	4523.62331
