953.279	18360.05061
959.192	16430.2757
965.105	15094.73355
971.017	14714.78357
976.929	15370.11142
982.842	17059.87032
988.754	19702.97778
994.666	23360.42761
1000.578	27746.53192
1006.49	32751.38882
1012.401	38085.77418
1018.313	43385.21673
1024.224	48349.66797
1030.136	52702.36305
1036.047	55965.16735
1041.958	57987.2607
1047.869	58587.35172
1053.78	57847.44024
1059.691	55781.51312
1065.601	52593.83321
1071.512	48750.93391
1077.422	44725.91346
1083.332	40670.82487
1089.242	36776.38194
1095.152	33380.98301
1101.062	30672.32931
1106.972	28827.92032
1112.882	27859.98186
1118.791	27747.6072
1124.701	28157.38046
1130.61	28377.37162
1136.519	27284.96152
1142.428	24869.4873
1148.337	23019.41283
1154.246	22899.69005
1160.154	24001.30279
1166.063	25314.69291
1171.971	26704.99368
1177.88	27867.50871
1183.788	28610.73763
1189.696	28909.47808
1195.604	29021.36113
1201.512	29166.50414
1207.42	29430.84754
1213.327	29865.25886
1219.235	30317.75437
1225.142	30410.65588
1231.049	29405.24955
1236.957	26350.86084
1242.864	22689.92602
1248.77	21009.56466
1254.677	21600.10215
1260.584	23053.73706
1266.49	23977.22129
1272.397	23974.96524
1278.303	23225.5332
1284.209	22018.22414
1290.115	20493.26985
1296.021	18805.41421
1301.927	17076.71258
1307.833	15313.79137
1313.738	13644.09866
1319.644	12082.1681
1325.549	10662.98915
1331.454	9540.08892
1337.359	8697.3007
1343.264	8125.51934
1349.169	7856.42715
1355.074	7747.91425
1360.978	7681.09273
1366.883	7676.18549
1372.787	7692.36894
1378.692	7749.58477
1384.596	7897.71897
1390.5	8055.45146
1396.404	8201.08356
1402.307	8357.51194
1408.211	8501.78753
1414.115	8632.15483
1420.018	8767.15843
1425.921	8841.08385
1431.824	8866.0961
1437.728	8909.96238
1443.63	8889.68174
1449.533	8857.7993
1455.436	8829.69083
1461.339	8797.07682
1467.241	8725.02839
1473.143	8650.31586
1479.046	8559.50916
1484.948	8457.89515
1490.85	8343.73285
1496.751	8189.4611
1502.653	8021.7306
1508.555	7796.63755
1514.456	7524.70201
1520.358	7182.75669
1526.259	6845.23554
1532.16	6474.88683
1538.061	6070.19052
1543.962	5738.63771
1549.863	5458.43826
1555.763	5243.69835
1561.664	5101.99517
1567.564	5007.57018
1573.465	5005.6911
1579.365	5016.6002
1585.265	5058.70585
1591.165	5150.48751
1597.065	5227.27275
1602.964	5299.81391
1608.864	5375.83658
1614.763	5465.18985
1620.663	5527.50335
1626.562	5554.94524
1632.461	5591.36646
1638.36	5551.72598
1644.259	5556.84199
1650.158	5479.42391
1656.056	5386.6772
1661.955	5267.95409
1667.853	5141.99651
1673.751	5027.23096
1679.649	4868.417
1685.547	4726.46901
1691.445	4592.68668
1697.343	4478.02849
1703.241	4369.15015
