wavelength_nm,dark_mean,water_mean_raw,water_corr,corr_2pct,trans_2pct,norm_2pct,corr_4pct,trans_4pct,norm_4pct,corr_6pct,trans_6pct,norm_6pct,corr_8pct,trans_8pct,norm_8pct,corr_10pct,trans_10pct,norm_10pct,corr_12pct,trans_12pct,norm_12pct,corr_14pct,trans_14pct,norm_14pct,corr_16pct,trans_16pct,norm_16pct,corr_18pct,trans_18pct,norm_18pct,corr_20pct,trans_20pct,norm_20pct
953.279,2944.50064,19303.80469,16359.30405,16643.24426,1.0173564968981672,0.007845660177265767,15915.3349,0.9728613669234908,0.007889458272395148,16482.71434,1.0075437371677187,0.007859442090003086,16419.492380000003,1.0036791497863262,0.00789340170865968,17452.55577,1.0668275200863448,0.008007280184357398,16569.170749999997,1.0128285836218074,0.007923126915049719,17175.188260000003,1.0498727945581525,0.007959667191294966,16868.443659999997,1.0311223269916545,0.00795254719363424,17188.77149,1.0507031006615466,0.007962697130143203,17482.610739999996,1.0686646990951914,0.008000143516329007
959.192,2935.32081,17137.01755,14201.69674,14467.839639999998,1.0187402185015253,0.007843141023148472,13863.0104,0.976151698899043,0.0078895790935227,14382.20104,1.0127100517145673,0.007864504857248473,14347.23678,1.0102480740621702,0.007899042565829238,15365.544149999998,1.0819512929551542,0.008014161865058432,14549.061689999999,1.0244593978000969,0.007943370856999721,15093.05216,1.0627640088588457,0.007976283369703449,14859.507869999998,1.0463191928431503,0.007975676216502277,15150.764179999998,1.0668277500481256,0.007985559667980388,15433.496359999997,1.0867360881274528,0.00802300673014466
965.105,2935.06002,15619.10929,12684.04927,12923.051640000001,1.0188427500486996,0.007838412614724644,12396.377199999999,0.9773201708794687,0.007886608784645867,12877.36637,1.015240960980594,0.00786655564501973,12857.69728,1.013690266121144,0.007900768974875287,13829.641349999998,1.090317536270497,0.008008727830160269,13103.829710000002,1.033095144229127,0.007958046699040955,13593.840799999998,1.071727215074118,0.007984220643432578,13405.868310000002,1.0569076187450037,0.007990610732487314,13681.83625,1.0786647038938852,0.007998768197491669,13955.29677,1.1002241061146558,0.008034599760288566
971.017,2948.86455,15158.79184,12209.92729,12420.97063,1.0172845697593011,0.00783237793091765,11911.82909,0.975585587619007,0.007880535588975706,12384.489169999999,1.0142967174049404,0.00786639537340636,12359.9714,1.0122886980762684,0.007898963050251426,13235.991899999999,1.084035276020059,0.007993977501170094,12626.47617,1.0341155905441923,0.007966770764516667,13072.70848,1.0706622709134903,0.007984685525879432,12909.79918,1.057319906448026,0.007997788040933401,13162.56414,1.078021500650558,0.008003164865907847,13408.42405,1.0981575673248747,0.008035665430820396
976.929,2928.48811,15783.90602,12855.41791,13049.13576,1.0150689655798206,0.007825607971734996,12507.8822,0.9729658178028069,0.007873609045685936,13010.96249,1.0120995350823254,0.007863827097223918,12967.49095,1.0087179616240107,0.007894130757353847,13797.636799999998,1.0732935246910225,0.007971892770161706,13254.95436,1.0310792268907265,0.007969535630064032,13695.266699999998,1.0653303374405818,0.007978090783111926,13527.884489999999,1.05230997426205,0.007997166801664487,13781.3372,1.0720256079174013,0.007999343425235478,14015.8689,1.0902694099969559,0.008026960380341031
982.842,2940.17151,17469.54672,14529.375209999998,14719.170119999999,1.0130628404357933,0.00781713194404552,14097.75847,0.9702935099574734,0.007862369600265125,14665.79392,1.0093891656061103,0.007854408580272863,14605.23744,1.0052213002213468,0.007879897697530096,15426.15322,1.0617217187276424,0.00792861568083602,14908.001779999999,1.0260593841460854,0.00795397701458202,15361.27794,1.0572566072509046,0.007952011059599182,15180.33899,1.0448032878627822,0.007973312993055398,15445.044010000001,1.063021897828737,0.007970917898595884,15686.19814,1.0796195922591225,0.007991451710102017
988.754,2916.005,20165.2742,17249.2692,17454.13308,1.011876670114233,0.007808456446522006,16690.58328,0.9676110382693778,0.00784897318165119,17376.90542,1.0073995146414667,0.007840427655431154,17284.90568,1.0020659704238368,0.007859885782276945,18162.931239999998,1.0529681593699054,0.007872431142817146,17606.219419999998,1.0206936430674987,0.007924268322332943,18116.99819,1.0503052610483927,0.007911327250725221,17899.51827,1.0376971953107441,0.007932123372404017,18194.591379999998,1.0548036075638496,0.007923618576772646,18451.05528,1.0696717099180064,0.007934908983867558
994.666,2939.87595,23909.62372,20969.747769999998,21204.79766,1.0112089993917939,0.007801593171772488,20275.08948,0.9668733120865765,0.007837356700498767,21079.474909999997,1.005232639953685,0.007825876072000542,20956.381749999997,0.9993626046366126,0.007839804785304529,21935.96621,1.0460767793011942,0.007819301921724404,21291.02967,1.0153212095597848,0.007889363814095642,21886.920479999997,1.0437378989990589,0.007867421862795494,21610.441349999997,1.0305532325437217,0.007885167546877564,21958.24226,1.0471390739098052,0.007871359871526188,22237.13452,1.0604388170950327,0.007874532949244055
1000.578,2933.53005,28444.409,25510.87895,25792.60876,1.0110435163975406,0.00779698375315256,24654.608949999998,0.9664351039539545,0.007828282058936993,25618.909229999997,1.0042346749483517,0.00781272395090162,25447.97168,0.9975341002509833,0.007821995443788686,26564.17931,1.04128828183711,0.007774214278397924,25777.027449999998,1.0104327452033948,0.007854135073626619,26493.11942,1.0385028078383791,0.007825614928145994,26135.06883,1.0244675960096625,0.007839010939658697,26539.40053,1.040316979356762,0.00782064517170029,26867.59822,1.0531819884630045,0.00781738966587377
1006.49,2939.38914,33674.63411,30735.24497,31072.254419999997,1.0109649182991365,0.00779450742030234,29682.22027,0.965738854496594,0.00782181574072608,30817.001990000004,1.0026600412679256,0.007800916599961012,30606.59371,0.995814210684653,0.007806261032088932,31888.63817,1.0375267287157073,0.007738270010101687,30929.236230000002,1.0063116874516327,0.007820434072721465,31776.563130000002,1.0338802622532017,0.00778886701759309,31324.60319,1.0191753220309538,0.007796194886997973,31797.193330000002,1.0345514851447108,0.007774552988705689,32173.46288,1.0467937675916952,0.007766659022385135
