concentration_percent,n_files,signal_total_after_dark,mean_transmission
2.0,1,2055644.34244,1.0134546071796424
4.0,1,1964413.47458,0.9648531217684595
6.0,1,2038824.4926,1.0043116028040857
8.0,1,2026560.65344,0.9969537885727766
10.0,1,2132648.78462,1.048657051933394
12.0,1,2046361.91643,1.0061786165854787
14.0,1,2108956.35738,1.038248479457176
16.0,1,2075984.9411300002,1.0223919917436728
18.0,1,2111627.37003,1.0408923673845738
20.0,1,2142022.26664,1.0546374081275367
