wavelength_nm,dark_mean,dark_std,water_mean_raw,water_std_raw,water_corr,std_T_mean_2pct,std_T_std_2pct,std_A_mean_2pct,std_A_std_2pct,std_T_mean_4pct,std_T_std_4pct,std_A_mean_4pct,std_A_std_4pct,std_T_mean_6pct,std_T_std_6pct,std_A_mean_6pct,std_A_std_6pct,std_T_mean_8pct,std_T_std_8pct,std_A_mean_8pct,std_A_std_8pct,std_T_mean_10pct,std_T_std_10pct,std_A_mean_10pct,std_A_std_10pct,std_T_mean_12pct,std_T_std_12pct,std_A_mean_12pct,std_A_std_12pct,std_T_mean_14pct,std_T_std_14pct,std_A_mean_14pct,std_A_std_14pct,std_T_mean_16pct,std_T_std_16pct,std_A_mean_16pct,std_A_std_16pct,std_T_mean_18pct,std_T_std_18pct,std_A_mean_18pct,std_A_std_18pct,std_T_mean_20pct,std_T_std_20pct,std_A_mean_20pct,std_A_std_20pct,creme_soda_flat_T_mean,creme_soda_flat_T_std,creme_soda_flat_A_mean,creme_soda_flat_A_std,sprite_flat_T_mean,sprite_flat_T_std,sprite_flat_A_mean,sprite_flat_A_std,tonic_flat_T_mean,tonic_flat_T_std,tonic_flat_A_mean,tonic_flat_A_std
953.279,2944.50064,0.0,19303.80469,0.0,16359.30405,1.0173564968981672,0.0,-0.0016733921784109155,0.0,0.9728613669234908,0.0,-0.0036154739843263835,0.0,1.0075437371677187,0.0,-0.001423232318765713,0.0,1.0036791497863262,0.0,-0.002972534355787883,0.0,1.0668275200863448,0.0,-0.007726453221922641,0.0,1.0128285836218074,0.0,-0.0029815618969911174,0.0,1.0498727945581525,0.0,-0.00497757049355136,0.0,1.0311223269916545,0.0,-0.0038710442644184807,0.0,1.0507031006615466,0.0,-0.004284806789117971,0.0,1.0686646990951914,0.0,-0.00602136158311176,0.0,0.9423108662131625,0.0,0.008833363316565354,0.0,1.0403275052522785,0.0,0.009153919975170139,0.0,0.9569169704379935,0.0,0.015018931312624216,0.0
959.192,2935.32081,0.0,17137.01755,0.0,14201.69674,1.0187402185015253,0.0,-0.0022636811806952236,0.0,0.976151698899043,0.0,-0.005081830883839136,0.0,1.0127100517145673,0.0,-0.0036444451216275458,0.0,1.0102480740621702,0.0,-0.005805663228046104,0.0,1.0819512929551542,0.0,-0.013839953153568528,0.0,1.0244593978000969,0.0,-0.0079403633443874,0.0,1.0627640088588457,0.0,-0.010277726880042241,0.0,1.0463191928431503,0.0,-0.01022504522856296,0.0,1.0668277500481256,0.0,-0.010899096832268751,0.0,1.0867360881274528,0.0,-0.013303987154431485,0.0,0.9502353934928481,0.0,0.005196359924509886,0.0,1.0505986617765224,0.0,0.004887157665355413,0.0,0.9642594776319664,0.0,0.011699271749763799,0.0
965.105,2935.06002,0.0,15619.10929,0.0,12684.04927,1.0188427500486996,0.0,-0.00230738873605242,0.0,0.9773201708794687,0.0,-0.005601378671272236,0.0,1.015240960980594,0.0,-0.004728456019537232,0.0,1.013690266121144,0.0,-0.007282908288876391,0.0,1.090317536270497,0.0,-0.017185240092639865,0.0,1.033095144229127,0.0,-0.011585932846463604,0.0,1.071727215074118,0.0,-0.013925147714098016,0.0,1.0569076187450037,0.0,-0.014597882020045144,0.0,1.0786647038938852,0.0,-0.015691260876682614,0.0,1.1002241061146558,0.0,-0.018661054075789163,0.0,0.958658648445947,0.0,0.001363567942450069,0.0,1.062657925169034,0.0,-6.948454212829178e-05,0.0,0.9747991336839075,0.0,0.0069780534057970935,0.0
971.017,2948.86455,0.0,15158.79184,0.0,12209.92729,1.0172845697593011,0.0,-0.001642686458337205,0.0,0.975585587619007,0.0,-0.004829892250852041,0.0,1.0142967174049404,0.0,-0.004324344473903369,0.0,1.0122886980762684,0.0,-0.006682020149599739,0.0,1.084035276020059,0.0,-0.014675657896809469,0.0,1.0341155905441923,0.0,-0.012014698266702012,0.0,1.0706622709134903,0.0,-0.013493387370226081,0.0,1.057319906448026,0.0,-0.01476726234880848,0.0,1.078021500650558,0.0,-0.015432215655349392,0.0,1.0981575673248747,0.0,-0.017844556496465783,0.0,0.9636354697735469,0.0,-0.0008852147477500238,0.0,1.071992938952219,0.0,-0.003867923796658703,0.0,0.9863673471555947,0.0,0.0018545010761773627,0.0
976.929,2928.48811,0.0,15783.90602,0.0,12855.41791,1.0150689655798206,0.0,-0.0006957793049422525,0.0,0.9729658178028069,0.0,-0.003662099338228893,0.0,1.0120995350823254,0.0,-0.0033825498656422487,0.0,1.0087179616240107,0.0,-0.005147386165367184,0.0,1.0732935246910225,0.0,-0.010350752133729307,0.0,1.0310792268907265,0.0,-0.010737649807357936,0.0,1.0653303374405818,0.0,-0.011325183149089854,0.0,1.05230997426205,0.0,-0.012704540339415376,0.0,1.0720256079174013,0.0,-0.013009952563405681,0.0,1.0902694099969559,0.0,-0.014713725016304899,0.0,0.9678116570852109,0.0,-0.002763286278739086,0.0,1.079676874541996,0.0,-0.006969798434874917,0.0,0.9981410709346593,0.0,-0.0032987380999285596,0.0
982.842,2940.17151,0.0,17469.54672,0.0,14529.375209999998,1.0130628404357933,0.0,0.00016338513557635943,0.0,0.9702935099574734,0.0,-0.0024676429255666224,0.0,1.0093891656061103,0.0,-0.0022179633780787388,0.0,1.0052213002213468,0.0,-0.0036393145894748373,0.0,1.0617217187276424,0.0,-0.005642944352801424,0.0,1.0260593841460854,0.0,-0.008618109277097285,0.0,1.0572566072509046,0.0,-0.00802129645638831,0.0,1.0448032878627822,0.0,-0.009595384087752673,0.0,1.063021897828737,0.0,-0.009347003820732565,0.0,1.0796195922591225,0.0,-0.010450655144799918,0.0,0.9718035776433089,0.0,-0.004550931052148132,0.0,1.0837681677572977,0.0,-0.008612389904175604,0.0,1.008684479420227,0.0,-0.007862150455507554,0.0
988.754,2916.005,0.0,20165.2742,0.0,17249.2692,1.011876670114233,0.0,0.0006721877753485418,0.0,0.9676110382693778,0.0,-0.00126533046170332,0.0,1.0073995146414667,0.0,-0.0013610617863022098,0.0,1.0020659704238368,0.0,-0.0022739460461830238,0.0,1.0529681593699054,0.0,-0.0020474816999837032,0.0,1.0206936430674987,0.0,-0.006341022545757086,0.0,1.0503052610483927,0.0,-0.005156429435984981,0.0,1.0376971953107441,0.0,-0.00663149640917206,0.0,1.0548036075638496,0.0,-0.005976399378374703,0.0,1.0696717099180064,0.0,-0.00643040786231517,0.0,0.9731990721090956,0.0,-0.005174123673596294,0.0,1.0847245969121984,0.0,-0.00899548726839702,0.0,1.014386447166121,0.0,-0.010310250176254046,0.0
994.666,2939.87595,0.0,23909.62372,0.0,20969.747769999998,1.0112089993917939,0.0,0.0009588446632715101,0.0,0.9668733120865765,0.0,-0.0009340892957369132,0.0,1.005232639953685,0.0,-0.0004259062176694534,0.0,0.9993626046366126,0.0,-0.0011007265043152014,0.0,1.0460767793011942,0.0,0.0008041953029062146,0.0,1.0153212095597848,0.0,-0.004049071051393639,0.0,1.0437378989990589,0.0,-0.0024323418867870025,0.0,1.0305532325437217,0.0,-0.0036312833732799633,0.0,1.0471390739098052,0.0,-0.002809158468612589,0.0,1.0604388170950327,0.0,-0.0026655144768071987,0.0,0.9738100755419815,0.0,-0.005446701158254977,0.0,1.0823273164243692,0.0,-0.008034618628628632,0.0,1.0160212265633752,0.0,-0.011009593302228131,0.0
1000.578,2933.53005,0.0,28444.409,0.0,25510.87895,1.0110435163975406,0.0,0.0010299221878163328,0.0,0.9664351039539545,0.0,-0.0007372129198798798,0.0,1.0042346749483517,0.0,5.462560879220804e-06,0.0,0.9975341002509833,0.0,-0.00030538282448103323,0.0,1.04128828183711,0.0,0.0027967760086636644,0.0,1.0104327452033948,0.0,-0.001953024578399981,0.0,1.0385028078383791,0.0,-0.00024856362683850497,0.0,1.0244675960096625,0.0,-0.0010590796711852785,0.0,1.040316979356762,0.0,2.952027925221673e-05,0.0,1.0531819884630045,0.0,0.00031667892939068326,0.0,0.9726439421641332,0.0,-0.004926323746666121,0.0,1.078165190384395,0.0,-0.006361305157170847,0.0,1.014509445194949,0.0,-0.01036290676200744,0.0
1006.49,2939.38914,0.0,33674.63411,0.0,30735.24497,1.0109649182991365,0.0,0.001063685370854022,0.0,0.965738854496594,0.0,-0.0004242211117405914,0.0,1.0026600412679256,0.0,0.0006869680262461949,0.0,0.995814210684653,0.0,0.0004440484007544284,0.0,1.0375267287157073,0.0,0.004368463281120699,0.0,1.0063116874516327,0.0,-0.00017812925373705086,0.0,1.0338802622532017,0.0,0.0016888671487513933,0.0,1.0191753220309538,0.0,0.0011902472569560486,0.0,1.0345514851447108,0.0,0.0024430985943524695,0.0,1.0467937675916952,0.0,0.0029589738451069707,0.0,0.969961349229487,0.0,-0.0037268664462784,0.0,1.0728409004771307,0.0,-0.004211321055273654,0.0,1.010603476247484,0.0,-0.008687599823857382,0.0
