wavelength_nm,dark_mean,water_mean_raw,water_corr,std_T_mean_2pct,std_T_std_2pct,std_S_mean_2pct,std_T_mean_4pct,std_T_std_4pct,std_S_mean_4pct,std_T_mean_6pct,std_T_std_6pct,std_S_mean_6pct,std_T_mean_8pct,std_T_std_8pct,std_S_mean_8pct,std_T_mean_10pct,std_T_std_10pct,std_S_mean_10pct,std_T_mean_12pct,std_T_std_12pct,std_S_mean_12pct,std_T_mean_14pct,std_T_std_14pct,std_S_mean_14pct,std_T_mean_16pct,std_T_std_16pct,std_S_mean_16pct,std_T_mean_18pct,std_T_std_18pct,std_S_mean_18pct,std_T_mean_20pct,std_T_std_20pct,std_S_mean_20pct,creme_soda_flat_T_mean,creme_soda_flat_T_std,creme_soda_flat_S_mean,sprite_flat_T_mean,sprite_flat_T_std,sprite_flat_S_mean,tonic_flat_T_mean,tonic_flat_T_std,tonic_flat_S_mean
953.279,2944.50064,19303.80469,16359.30405,1.0177562179860278,0.0,0.007842382518079154,0.9743575607273545,0.0,0.007887895120373993,1.0103460969672822,0.0,0.007862354079303687,1.0072776624864124,0.0,0.007896234455275306,1.0748020265130127,0.0,0.008007033822472535,1.020426352437235,0.0,0.00793762117079983,1.0578063818684376,0.0,0.007969556596368967,1.040719432286114,0.0,0.007968217458257881,1.0609037653198223,0.0,0.00797741338093035,1.0799680797068212,0.0,0.008013982185699122,0.9488247109378559,0.0,0.007734267563909684,1.0495085067009842,0.0,0.007753109584242951,0.9647276914604918,0.0,0.007652489533803682
959.192,2935.32081,17137.01755,14201.69674,1.0174294277976925,0.0,0.00783951791179176,0.9743724822815425,0.0,0.007885630916044236,1.0109969252407975,0.0,0.007862980523183754,1.0079974927489388,0.0,0.007896338607462527,1.0757257414565382,0.0,0.008001978184543745,1.0230335871899379,0.0,0.007944251303707718,1.0600146022802133,0.0,0.007972188681387056,1.0437462390390275,0.0,0.007974592060371656,1.0639498377849443,0.0,0.00798264890462979,1.0830544669785018,0.0,0.00801781344145791,0.9524676810624343,0.0,0.007753724894127372,1.0551298451709439,0.0,0.007778493593282358,0.9706168486743011,0.0,0.007686211573852307
965.105,2935.06002,15619.10929,12684.04927,1.0168160483030677,0.0,0.007835442442082181,0.9740056455721113,0.0,0.007881761056028386,1.0112605578748535,0.0,0.007862261433976609,1.008217799953942,0.0,0.00789440941904662,1.0749963412624377,0.0,0.007990739746904507,1.024923701550549,0.0,0.007948658671161388,1.0610694326648922,0.0,0.007971094888725277,1.0457006620206173,0.0,0.007977558776457434,1.0657096659516856,0.0,0.007983823376099642,1.0846194517162062,0.0,0.008016571665661661,0.9566809255524552,0.0,0.007776896716788828,1.0613356541002323,0.0,0.007808013554148728,0.9780122071003345,0.0,0.00772801954738469
971.017,2948.86455,15158.79184,12209.92729,1.0160332159053629,0.0,0.007830127613205154,0.9732555986215239,0.0,0.007875977397340498,1.0112399546568174,0.0,0.00785954502427176,1.0079873457593005,0.0,0.007889621320436102,1.0730164325886606,0.0,0.007971474481426169,1.026047281471362,0.0,0.00794882173712836,1.0611312135920692,0.0,0.007964188806859536,1.0466399289233443,0.0,0.007974640917253084,1.0662954526520148,0.0,0.007978240364452865,1.08476331040518,0.0,0.008007251777323757,0.9610935263947313,0.0,0.007801942101066009,1.067678095765935,0.0,0.007839061320562488,0.9862221323472098,0.0,0.007775588948166473
976.929,2928.48811,15783.90602,12855.41791,1.0151550019758808,0.0,0.007823832314625209,0.9724001622162504,0.0,0.007868534220027227,1.0109097979119555,0.0,0.007854749769555651,1.0073706964521985,0.0,0.00788196444258901,1.0700520410479248,0.0,0.007944618887256442,1.0264033708910731,0.0,0.00794399820674966,1.06025479994077,0.0,0.007951010185147529,1.0465586297164968,0.0,0.00796501469108029,1.0657863059731945,0.0,0.0079651913405085,1.0835881844051571,0.0,0.007989306121623924,0.9655934134417055,0.0,0.007827434144207833,1.0736780687905194,0.0,0.007869251150774779,0.9946655975079788,0.0,0.007826222388986542
982.842,2940.17151,17469.54672,14529.375209999998,1.014055473103883,0.0,0.007817238406257561,0.9710120772240948,0.0,0.007859777388311931,1.009699029802496,0.0,0.007847352328627589,1.0055544144791717,0.0,0.007870957460004853,1.0642430394596327,0.0,0.007910338673581199,1.0243995633772585,0.0,0.007931249629166316,1.0567889140807036,0.0,0.007929484949913154,1.0434369730259987,0.0,0.007945489939494475,1.0619990530172854,0.0,0.007941630602609029,1.0787947415959502,0.0,0.007959930145326326,0.9687946346804606,0.0,0.007847872100141685,1.0776161443059298,0.0,0.007890670820190704,1.0018441643026905,0.0,0.00787055546749658
988.754,2916.005,20165.2742,17249.2692,1.0129300685682312,0.0,0.007810966223589257,0.9693576034551128,0.0,0.007850521120276089,1.0079017555578293,0.0,0.00783797510847729,1.0030006922739587,0.0,0.007857456017604885,1.0567014955232343,0.0,0.007871699602479118,1.0205733552661878,0.0,0.007911589744120578,1.0513822065348584,0.0,0.007901575769287034,1.0380466449239913,0.0,0.007917714624687412,1.0556971646245463,0.0,0.007909597786292449,1.0711618360926702,0.0,0.007921650147536633,0.9704093062209662,0.0,0.007861173332255821,1.0790708550642294,0.0,0.007901193519021854,1.0069590703832014,0.0,0.007904260371212958
994.666,2939.87595,23909.62372,20969.747769999998,1.0120397495390807,0.0,0.0078053954493687815,0.967922954097816,0.0,0.007841587833167412,1.0060311220757767,0.0,0.007827100667689999,1.0004381545446825,0.0,0.007842269601200914,1.0495700609808174,0.0,0.00783094280488165,1.016077973530405,0.0,0.007886295825670306,1.0455473646458324,0.0,0.00786895366970257,1.0319017156460446,0.0,0.007883398872446342,1.04873451663473,0.0,0.00787103677528752,1.0630114585351216,0.0,0.007876835462162375,0.9707942454463425,0.0,0.007866123974089012,1.0782539650978709,0.0,0.007899525298552418,1.0096792777804893,0.0,0.007924531461213994
1000.578,2933.53005,28444.409,25510.87895,1.0114418056623722,0.0,0.007800740160467621,0.9668022249791208,0.0,0.00783331951931373,1.0043403921146719,0.0,0.007815267379050037,0.9981655029611683,0.0,0.007826111791963122,1.0435180321642579,0.0,0.0077898574693480264,1.0115408336457112,0.0,0.007856673885669501,1.0399913983955142,0.0,0.007833257240164437,1.0258613770109564,0.0,0.007844273386987816,1.041977583007469,0.0,0.007827785103150145,1.055297481669133,0.0,0.007827787312471057,0.9700815057242572,0.0,0.007862007992808891,1.075524733507211,0.0,0.007885734800681289,1.009975070695138,0.0,0.007930020429689329
1006.49,2939.38914,33674.63411,30735.24497,1.0111205703425685,0.0,0.007797280968394737,0.966003626923166,0.0,0.0078262919751895,1.002822534892524,0.0,0.007803504795520794,0.996157633347724,0.0,0.007810469910979504,1.0386933012298023,0.0,0.00775201242881788,1.0072004526577696,0.0,0.007825799359955372,1.0351077552269023,0.0,0.0077978320374596215,1.020258203973081,0.0,0.007804220903955189,1.0358365268186467,0.0,0.007784020453804212,1.0484491700708616,0.0,0.00777907302235439,0.9681441839625845,0.0,0.007849842446305929,1.0713549155318727,0.0,0.00786212906945994,1.0079348997768631,0.0,0.007921569519426902
