concentration_percent,ratio_mean,ratio_std,predicted_concentration_percent,residual_percent,pred_loocv_percent,residual_loocv_percent
2.0,-1.3064794539336644,0.0,10.404581289728657,8.404581289728657,28.10019659673836,26.10019659673836
4.0,0.11579802374952293,0.0,11.482069917504914,7.482069917504914,18.35748214777445,14.357482147774451
6.0,-0.43152926903323724,0.0,11.067425839328521,5.067425839328521,11.677227311215942,5.677227311215942
8.0,-0.36910123456203575,0.0,11.114720054594248,3.1147200545942475,11.545321230762088,3.545321230762088
10.0,-0.5504116664083561,0.0,10.977362941459164,0.9773629414591642,11.086967816237939,1.086967816237939
12.0,-0.4376365633817816,0.0,11.062799076752095,-0.9372009232479055,10.951172883902466,-1.0488271160975344
14.0,-0.5165930057669856,0.0,11.002983274213824,-2.9970167257861764,10.669927728534734,-3.3300722714652657
16.0,-0.563964710614555,0.0,10.967095429505227,-5.0329045704947735,10.396894448661486,-5.603105551338514
18.0,-0.5811601506687148,0.0,10.954068512185163,-7.045931487814837,10.141153382215872,-7.858846617784128
20.0,-0.5642310387138193,0.0,10.966893664728158,-9.033106335271842,9.943248258957933,-10.056751741042067
